,FirstInstanceStartLocation,FirstInstanceEndLocation,SecondInstanceStartLocation,SecondInstanceEndLocation,Length,Distance
tmp.log:2035:Motif:,52505,52843,62303,62645,338,3.976497085
tmp.log:2036:Motif:,230032,230824,239225,240013,788,14.1770515
tmp.log:2037:Motif:,135946,136365,184499,184910,411,4.779760806
tmp.log:2038:Motif:,30345,30813,165358,165810,452,13.28865585
tmp.log:2039:Motif:,48832,49150,181232,181549,317,3.466757132
tmp.log:2040:Motif:,160159,161052,225223,226122,893,11.48071048
tmp.log:2041:Motif:,159715,160598,228334,229221,883,13.14101301
tmp.log:2042:Motif:,149216,149956,219232,219980,740,12.77339944
tmp.log:2043:Motif:,107805,108267,126374,126833,459,9.129729646
tmp.log:2044:Motif:,223096,223616,223614,224129,515,10.35237658
tmp.log:2045:Motif:,229551,229862,233304,233614,310,2.937831857
tmp.log:2046:Motif:,170053,170590,171925,172410,485,7.009535091
tmp.log:2047:Motif:,229374,230483,233115,234244,1109,24.015435
tmp.log:2048:Motif:,163265,163871,182334,182949,606,11.66266006
tmp.log:2049:Motif:,65804,66844,114787,115854,1040,35.27143258
tmp.log:2050:Motif:,23772,24182,46118,46528,410,4.986664557
tmp.log:2051:Motif:,121825,122846,133342,134360,1018,11.25325869
tmp.log:2052:Motif:,218931,220308,229823,231202,1377,28.96954222
tmp.log:2053:Motif:,83431,84063,132239,132875,632,12.28237289
tmp.log:2054:Motif:,119908,121077,133787,134965,1169,25.05632116
tmp.log:2055:Motif:,181778,183228,204128,205531,1403,28.18849739
tmp.log:2056:Motif:,120389,121298,134883,135774,891,26.78444028
tmp.log:2057:Motif:,163733,165133,218092,219476,1384,29.46694446
tmp.log:2058:Motif:,199177,199760,229711,230318,583,17.36150638
tmp.log:2059:Motif:,22392,22912,81975,82488,513,12.48607672
tmp.log:2060:Motif:,57641,57983,231909,232251,342,2.210414622
tmp.log:2061:Motif:,182842,183315,193016,193512,473,6.068362102
tmp.log:2062:Motif:,136891,137235,140241,140587,344,3.37E-07
tmp.log:2063:Motif:,209887,210822,213733,214636,903,18.69392154
tmp.log:2064:Motif:,72657,73040,74646,75017,371,8.45015552
tmp.log:2065:Motif:,35742,36136,135983,136369,386,9.806733607
tmp.log:2066:Motif:,162553,163537,176425,177440,984,24.46408815
tmp.log:2067:Motif:,191198,192040,192438,193264,826,15.93724596
tmp.log:2068:Motif:,205452,205989,209569,210113,537,9.39120005
tmp.log:2069:Motif:,175798,176199,181616,182016,400,2.534636026
tmp.log:2070:Motif:,171063,171879,233065,233881,816,12.73859484
tmp.log:2071:Motif:,203662,204345,210553,211260,683,15.43854134
tmp.log:2072:Motif:,136801,137248,140151,140579,428,4.861861959
tmp.log:2073:Motif:,38383,38903,107558,108064,506,11.38403485
tmp.log:2074:Motif:,71665,72527,220343,221227,862,14.41008832
tmp.log:2075:Motif:,135366,135817,141516,141991,451,20.19593107
tmp.log:2076:Motif:,30253,31074,198477,199320,821,33.54025845
tmp.log:2077:Motif:,163223,163963,182285,183041,740,13.54962778
tmp.log:2078:Motif:,30574,30930,165576,165934,356,8.384115695
tmp.log:2079:Motif:,26449,26759,76682,76993,310,13.61588184
tmp.log:2080:Motif:,108843,109193,148166,148533,350,9.337560419
tmp.log:2081:Motif:,188962,189498,202400,202941,536,10.82415811
tmp.log:2082:Motif:,176987,177833,191095,191948,846,15.30711292
tmp.log:2083:Motif:,15363,15797,207678,208118,434,17.5656137
tmp.log:2084:Motif:,130590,131121,135519,136047,528,10.01769809
tmp.log:2085:Motif:,169573,169968,233304,233701,395,2.905253385
tmp.log:2086:Motif:,55530,55993,211942,212409,463,5.953428508
tmp.log:2087:Motif:,159923,160739,224990,225803,813,10.92444273
tmp.log:2088:Motif:,37610,38019,64457,64862,405,5.876549449
tmp.log:2089:Motif:,170583,171839,201709,202981,1256,25.74393317
tmp.log:2090:Motif:,175549,176103,177517,178065,548,7.416349769
tmp.log:2091:Motif:,111093,112307,129364,130590,1214,27.71677467
tmp.log:2092:Motif:,172643,173349,223278,223978,700,7.971581877
tmp.log:2093:Motif:,167493,168355,180527,181376,849,10.25454685
tmp.log:2094:Motif:,40742,41075,143829,144145,316,13.55502823
tmp.log:2095:Motif:,52272,52756,53580,54067,484,11.65328356
tmp.log:2096:Motif:,84484,85252,119109,119877,768,15.14295567
tmp.log:2097:Motif:,170689,171636,201817,202783,947,22.30898784
tmp.log:2098:Motif:,55159,56314,168712,169888,1155,25.75177455
tmp.log:2099:Motif:,180236,181050,197226,198034,808,13.87358486
tmp.log:2100:Motif:,46858,47335,183329,183811,477,5.38418545
tmp.log:2101:Motif:,181632,183117,218229,219739,1485,33.51527814
tmp.log:2102:Motif:,176945,177318,194584,194954,370,6.0385071
tmp.log:2103:Motif:,125328,125765,125824,126263,437,5.387379053
tmp.log:2104:Motif:,108483,109767,117642,118918,1276,32.4639858
tmp.log:2105:Motif:,187653,188676,210929,211905,976,33.25370529
tmp.log:2106:Motif:,81080,81438,127927,128288,358,5.883185172
tmp.log:2107:Motif:,188831,189979,202271,203398,1127,23.86903059
tmp.log:2108:Motif:,191003,192000,192248,193262,997,14.10019706
tmp.log:2109:Motif:,176871,177243,186060,186430,370,3.078704448
tmp.log:2110:Motif:,132559,133428,135548,136388,840,13.43978893
tmp.log:2111:Motif:,189412,189770,202177,202534,357,3.971209661
tmp.log:2112:Motif:,71949,72371,147595,148017,422,0.401590319
tmp.log:2113:Motif:,159439,160365,163142,164059,917,19.08966718
tmp.log:2114:Motif:,107322,108785,113609,115035,1426,31.82125776
tmp.log:2115:Motif:,229481,230464,233236,234221,983,16.34904445
tmp.log:2116:Motif:,163801,164854,170801,171857,1053,15.36389465
tmp.log:2117:Motif:,52249,52758,53555,54068,509,11.9303659
tmp.log:2118:Motif:,108758,109579,150044,150867,821,22.98129368
tmp.log:2119:Motif:,78885,79503,148164,148776,612,19.00286093
tmp.log:2120:Motif:,110474,111021,132395,132920,525,18.90783582
tmp.log:2121:Motif:,122836,123750,133180,134091,911,16.97946227
tmp.log:2122:Motif:,81083,81442,127930,128291,359,5.813604826
tmp.log:2123:Motif:,229455,230800,233208,234549,1341,15.36381257
tmp.log:2124:Motif:,174785,175214,193676,194091,415,10.59615226
tmp.log:2125:Motif:,121914,122779,133432,134304,865,9.974565506
tmp.log:2126:Motif:,87205,88177,132391,133389,972,25.53353715
tmp.log:2127:Motif:,182597,183355,192774,193536,758,10.61365807
tmp.log:2128:Motif:,130537,131005,135463,135927,464,8.665815235
tmp.log:2129:Motif:,82028,82491,122554,123019,463,4.704853591
tmp.log:2130:Motif:,107524,108448,127425,128310,885,19.1309099
tmp.log:2131:Motif:,168895,169341,172052,172492,440,6.608882872
tmp.log:2132:Motif:,175491,176148,177456,178111,655,8.469177039
tmp.log:2133:Motif:,176790,177216,185979,186405,426,3.208829384
tmp.log:2134:Motif:,168013,168500,170168,170670,487,8.213261315
tmp.log:2135:Motif:,99877,100633,194282,195046,756,35.39661174
tmp.log:2136:Motif:,183095,183694,184465,185075,599,5.420264454
tmp.log:2137:Motif:,117895,118372,135710,136236,477,14.49903231
tmp.log:2138:Motif:,94688,95753,125474,126565,1065,31.10370247
tmp.log:2139:Motif:,164796,165981,200504,201670,1166,48.4069965
tmp.log:2140:Motif:,78001,78849,147547,148401,848,17.48212487
tmp.log:2141:Motif:,193755,194747,237573,238576,992,37.63792286
tmp.log:2142:Motif:,168045,168541,170204,170674,470,9.390691168
tmp.log:2143:Motif:,184508,185388,204903,205792,880,18.73099751
tmp.log:2144:Motif:,151800,152638,160156,160979,823,10.23484698
tmp.log:2145:Motif:,218087,218511,219099,219523,424,7.334956803
tmp.log:2146:Motif:,210238,211382,228473,229617,1144,22.24834603
tmp.log:2147:Motif:,181954,182419,183611,184077,465,3.21518896
tmp.log:2148:Motif:,15824,16236,61981,62419,412,19.23003569
tmp.log:2149:Motif:,214807,216391,238680,240231,1551,54.25138548
tmp.log:2150:Motif:,173876,174199,202558,202878,320,6.891620707
tmp.log:2151:Motif:,173878,174201,198117,198448,323,5.265069364
tmp.log:2152:Motif:,35477,36209,201640,202376,732,16.71182313
tmp.log:2153:Motif:,231611,233427,234616,236417,1801,56.39838878
tmp.log:2154:Motif:,130365,130870,135293,135796,503,7.069297209
tmp.log:2155:Motif:,155334,156989,203395,205066,1655,37.84003787
tmp.log:2156:Motif:,82414,83331,121732,122632,900,13.92179887
tmp.log:2157:Motif:,180575,181235,214116,214758,642,18.56200323
tmp.log:2158:Motif:,151238,152648,224659,226090,1410,20.10154144
tmp.log:2159:Motif:,164567,165407,204694,205531,837,20.14826331
tmp.log:2160:Motif:,219314,220039,236433,237152,719,13.43859997
tmp.log:2161:Motif:,55237,56269,172134,173211,1032,30.1435893
tmp.log:2162:Motif:,178310,178829,187909,188429,519,3.978705797
tmp.log:2163:Motif:,35981,37366,167078,168502,1385,28.07406447
tmp.log:2164:Motif:,50734,51381,71906,72535,629,3.741043027
tmp.log:2165:Motif:,156266,157361,223981,225075,1094,22.37382835
tmp.log:2166:Motif:,215010,216349,240904,242206,1302,35.00015896
tmp.log:2167:Motif:,102727,103117,121911,122301,390,12.01055391
tmp.log:2168:Motif:,217501,218508,232169,233181,1007,25.13898572
tmp.log:2169:Motif:,15439,15778,62053,62387,334,10.34010941
tmp.log:2170:Motif:,133258,133750,133844,134371,492,6.924722033
tmp.log:2171:Motif:,176550,177352,202114,202900,786,14.44378015
tmp.log:2172:Motif:,180185,181096,197173,198103,911,12.4896503
tmp.log:2173:Motif:,76445,76797,116274,116651,352,13.25185433
tmp.log:2174:Motif:,159721,161068,213646,215018,1347,24.45860291
tmp.log:2175:Motif:,35661,36143,187169,187643,474,6.152682355
tmp.log:2176:Motif:,65010,65719,133550,134217,667,8.840321671
tmp.log:2177:Motif:,193101,194131,203667,204706,1030,18.35080985
tmp.log:2178:Motif:,186262,187230,238422,239443,968,22.7890982
tmp.log:2179:Motif:,18177,18502,27138,27463,325,6.965998362
tmp.log:2180:Motif:,197104,197865,217796,218508,712,14.64368227
tmp.log:2181:Motif:,205611,207038,221140,222588,1427,49.85383231
tmp.log:2182:Motif:,149522,150172,151818,152469,650,8.27846906
tmp.log:2183:Motif:,67468,67793,174522,174848,325,3.313258424
tmp.log:2184:Motif:,105760,106418,114780,115435,655,17.18780383
tmp.log:2185:Motif:,52461,52835,62260,62632,372,4.854723051
tmp.log:2186:Motif:,172559,173009,223193,223640,447,5.318997125
tmp.log:2187:Motif:,49061,49694,65288,65887,599,11.49402999
tmp.log:2188:Motif:,189911,191870,225890,227797,1907,43.70858128
tmp.log:2189:Motif:,92823,93294,135723,136200,471,11.46754953
tmp.log:2190:Motif:,184845,185513,205234,205921,668,11.03657878
tmp.log:2191:Motif:,171285,171615,235777,236110,330,4.486839291
tmp.log:2192:Motif:,224646,226415,232291,234091,1769,33.8357988
tmp.log:2193:Motif:,57913,58680,209080,209859,767,31.22241755
tmp.log:2194:Motif:,177110,177474,202679,203042,363,5.850157698
tmp.log:2195:Motif:,155029,156079,225628,226686,1050,21.8414245
tmp.log:2196:Motif:,13025,13684,203794,204478,659,28.91774085
tmp.log:2197:Motif:,114659,115159,135955,136434,479,21.03271334
tmp.log:2198:Motif:,40389,40906,184841,185350,509,8.26679059
tmp.log:2199:Motif:,130368,131284,135294,136200,906,10.73518293
tmp.log:2200:Motif:,149289,150148,151587,152452,859,9.318612663
tmp.log:2201:Motif:,170892,171496,181658,182259,601,7.981407495
tmp.log:2202:Motif:,182558,183150,190169,190759,590,6.373398851
tmp.log:2203:Motif:,188982,189897,193830,194763,915,17.31544157
tmp.log:2204:Motif:,119818,120198,129971,130333,362,11.16143769
tmp.log:2205:Motif:,38146,38804,239534,240204,658,37.65059892
tmp.log:2206:Motif:,167708,168386,214271,214952,678,6.24910053
tmp.log:2207:Motif:,168779,169169,219915,220295,380,3.113663668
tmp.log:2208:Motif:,60005,60991,168819,169797,978,21.48980798
tmp.log:2209:Motif:,161020,162868,225038,226915,1848,41.5013253
tmp.log:2210:Motif:,217871,219713,228777,230619,1842,34.9629901
tmp.log:2211:Motif:,189395,189801,223278,223686,406,6.409977491
tmp.log:2212:Motif:,184762,185721,186477,187449,959,19.46094183
tmp.log:2213:Motif:,182206,182819,224208,224819,611,14.25002321
tmp.log:2214:Motif:,168807,169407,180966,181564,598,9.047177991
tmp.log:2215:Motif:,83716,84097,110618,111005,381,9.159636461
tmp.log:2216:Motif:,50185,50585,88294,88706,400,14.86705375
tmp.log:2217:Motif:,183352,184647,238693,240001,1295,48.82049577
tmp.log:2218:Motif:,65077,65549,179728,180224,472,18.59070314
tmp.log:2219:Motif:,35406,35922,222565,223067,502,9.289821162
tmp.log:2220:Motif:,52366,52703,69541,69880,337,2.874439048
tmp.log:2221:Motif:,83704,84137,110614,111042,428,12.29184373
tmp.log:2222:Motif:,41746,42375,187838,188467,629,23.02048652
tmp.log:2223:Motif:,149504,150339,151801,152638,835,7.598673668
tmp.log:2224:Motif:,210135,211608,228361,229827,1466,19.05736
tmp.log:2225:Motif:,151147,151709,216932,217498,562,14.88769899
tmp.log:2226:Motif:,182968,183565,197251,197847,596,10.05078187
tmp.log:2227:Motif:,120871,121363,135350,135843,492,6.915661545
tmp.log:2228:Motif:,175711,176736,192699,193663,964,17.98935493
tmp.log:2229:Motif:,73395,73753,244542,244890,348,7.435160781
tmp.log:2230:Motif:,81352,82161,191384,192183,799,12.70573811
tmp.log:2231:Motif:,153795,154221,237651,238070,419,4.269039387
tmp.log:2232:Motif:,199195,199868,202623,203306,673,15.3841013
tmp.log:2233:Motif:,175489,176195,177451,178162,706,12.24678939
tmp.log:2234:Motif:,216481,217485,229374,230323,949,33.57396726
tmp.log:2235:Motif:,169796,170207,235458,235883,411,3.880257297
tmp.log:2236:Motif:,175512,176131,177481,178094,613,9.15605973
tmp.log:2237:Motif:,71665,72547,220343,221237,882,14.5645244
tmp.log:2238:Motif:,130661,131083,132594,133020,422,9.112109927
tmp.log:2239:Motif:,210107,210991,228335,229208,873,11.66778471
tmp.log:2240:Motif:,76276,77135,142483,143373,859,37.99584027
tmp.log:2241:Motif:,72283,72806,147875,148407,523,6.222647953
tmp.log:2242:Motif:,175482,176151,177450,178114,664,8.063010758
tmp.log:2243:Motif:,175797,176486,190224,190925,689,9.072405706
tmp.log:2244:Motif:,222512,223100,235249,235855,588,14.46030478
tmp.log:2245:Motif:,172666,173322,181816,182469,653,7.924032159
tmp.log:2246:Motif:,128184,129491,237612,238960,1307,47.12225098
tmp.log:2247:Motif:,157190,157532,189509,189850,341,0.872694607
tmp.log:2248:Motif:,36509,37663,199828,200960,1132,32.24764937
tmp.log:2249:Motif:,45796,46548,239837,240577,740,25.07203943
tmp.log:2250:Motif:,91857,92665,231366,232203,808,29.19937532
tmp.log:2251:Motif:,130641,130965,135570,135894,324,4.877405778
tmp.log:2252:Motif:,229451,229939,233204,233692,488,2.863020621
tmp.log:2253:Motif:,47566,48467,196958,197864,901,18.67550519
tmp.log:2254:Motif:,211555,212423,235970,236818,848,30.50609233
tmp.log:2255:Motif:,113254,114680,129586,131013,1426,33.15285788
tmp.log:2256:Motif:,225119,226839,232766,234516,1720,35.25940194
tmp.log:2257:Motif:,175980,177485,197095,198607,1505,27.98373243
tmp.log:2258:Motif:,151985,152792,222221,223034,807,10.19657944
tmp.log:2259:Motif:,38827,39291,202162,202621,459,4.444428844
tmp.log:2260:Motif:,86051,86378,244615,244943,327,13.83488684
tmp.log:2261:Motif:,120759,121474,135240,135959,715,7.808361473
tmp.log:2262:Motif:,132612,132973,135605,135965,360,4.431788812
tmp.log:2263:Motif:,160508,160917,219883,220288,405,2.47478082
tmp.log:2264:Motif:,72542,72944,108225,108635,402,8.892272478
tmp.log:2265:Motif:,152541,153050,208966,209474,508,13.77294138
tmp.log:2266:Motif:,205032,205844,211994,212792,798,29.66148531
tmp.log:2267:Motif:,171273,171872,229518,230119,599,10.22931743
tmp.log:2268:Motif:,182606,183594,192778,193770,988,13.98336451
tmp.log:2269:Motif:,184502,185336,204881,205734,834,17.71562128
tmp.log:2270:Motif:,160379,161250,199974,200837,863,12.51087193
tmp.log:2271:Motif:,122951,123748,133877,134735,797,21.53558291
tmp.log:2272:Motif:,182585,183660,209884,210984,1075,18.13474631
tmp.log:2273:Motif:,176228,178032,203784,205569,1785,35.2442979
tmp.log:2274:Motif:,229685,230010,233438,233762,324,2.154801983
tmp.log:2275:Motif:,167486,168481,183233,184239,995,17.09696592
tmp.log:2276:Motif:,151712,152112,231866,232269,400,6.846201955
tmp.log:2277:Motif:,32306,32757,177025,177435,410,12.25438673
tmp.log:2278:Motif:,187805,189058,235457,236721,1253,42.41655104
tmp.log:2279:Motif:,171448,172085,182215,182861,637,9.331671056
tmp.log:2280:Motif:,210526,211586,230091,231125,1034,20.28061914
tmp.log:2281:Motif:,160112,161313,225180,226371,1191,18.22621621
tmp.log:2282:Motif:,199307,200498,202264,203464,1191,43.11365876
tmp.log:2283:Motif:,173112,173697,244172,244744,572,27.31043217
tmp.log:2284:Motif:,229801,230672,233555,234415,860,16.46393571
tmp.log:2285:Motif:,126706,127077,128035,128395,360,9.465027559
tmp.log:2286:Motif:,43384,43810,177634,178066,426,6.59156933
tmp.log:2287:Motif:,204528,205414,218756,219636,880,16.33629472
tmp.log:2288:Motif:,92732,93365,135634,136269,633,17.17201503
tmp.log:2289:Motif:,135914,136251,223279,223616,337,3.099307103
tmp.log:2290:Motif:,175478,176130,177443,178098,652,8.445673728
tmp.log:2291:Motif:,119838,120171,120411,120744,333,1.992073353
tmp.log:2292:Motif:,160464,161247,200058,200854,783,10.56062425
tmp.log:2293:Motif:,169586,170205,222511,223122,611,11.27944196
tmp.log:2294:Motif:,14707,15232,27259,27769,510,18.52915659
tmp.log:2295:Motif:,199425,200206,209317,210065,748,18.80535058
tmp.log:2296:Motif:,55545,56161,199254,199891,616,11.63738062
tmp.log:2297:Motif:,162514,163307,176391,177167,776,14.15301678
tmp.log:2298:Motif:,182486,183929,213319,214756,1437,30.74434038
tmp.log:2299:Motif:,209435,210806,211625,213041,1371,52.72620969
tmp.log:2300:Motif:,180001,180595,209723,210296,573,18.53415695
tmp.log:2301:Motif:,188637,189096,223179,223657,459,16.6440793
tmp.log:2302:Motif:,163804,164935,170797,171940,1131,19.11856901
tmp.log:2303:Motif:,35531,36210,201709,202380,671,11.89087976
tmp.log:2304:Motif:,186438,187260,205105,205927,822,18.95783825
tmp.log:2305:Motif:,71601,72292,209383,210088,691,9.645045119
tmp.log:2306:Motif:,120945,121426,130498,130981,481,8.887771157
tmp.log:2307:Motif:,130681,131065,132618,133006,384,7.571943014
tmp.log:2308:Motif:,169427,169951,171158,171687,524,3.346552752
tmp.log:2309:Motif:,67733,68182,76601,77043,442,13.95671585
tmp.log:2310:Motif:,1414,2233,160057,160871,814,11.60852419
tmp.log:2311:Motif:,120080,120980,125669,126517,848,15.47669144
tmp.log:2312:Motif:,192343,192684,198115,198456,341,5.335025001
tmp.log:2313:Motif:,155920,156458,225240,225774,534,6.024640087
tmp.log:2314:Motif:,212935,214828,217073,218919,1846,39.26001653
tmp.log:2315:Motif:,9639,9999,72750,73110,360,5.545219082
tmp.log:2316:Motif:,170652,172077,232655,234091,1425,30.18102568
tmp.log:2317:Motif:,120251,121435,129835,130991,1156,31.07224235
tmp.log:2318:Motif:,188727,189183,194243,194694,451,5.071658422
tmp.log:2319:Motif:,174926,176233,230850,232084,1234,30.21223309
tmp.log:2320:Motif:,129493,130328,200503,201326,823,25.48614516
tmp.log:2321:Motif:,210037,211644,228265,229901,1607,22.7655755
tmp.log:2322:Motif:,162450,163332,187529,188407,878,17.33884883
tmp.log:2323:Motif:,81122,81469,126648,126993,345,8.204434878
tmp.log:2324:Motif:,191198,191738,198211,198743,532,9.234278823
tmp.log:2325:Motif:,218116,219144,234713,235696,983,26.85558876
tmp.log:2326:Motif:,81084,81431,127931,128279,347,5.967804679
tmp.log:2327:Motif:,145512,146198,161744,162437,686,25.09344696
tmp.log:2328:Motif:,227460,229279,230381,232204,1819,38.2929082
tmp.log:2329:Motif:,119741,120073,120314,120647,332,2.156208619
tmp.log:2330:Motif:,40231,40550,41320,41640,319,12.21847341
tmp.log:2331:Motif:,150624,151307,199932,200616,683,11.74609496
tmp.log:2332:Motif:,153307,154074,237170,237894,724,13.14071785
tmp.log:2333:Motif:,71659,72455,147295,148110,796,11.35484955
tmp.log:2334:Motif:,180322,181125,183028,183835,803,14.47971783
tmp.log:2335:Motif:,151985,152860,169300,170173,873,12.2693143
tmp.log:2336:Motif:,186127,186505,211772,212151,378,5.365817928
tmp.log:2337:Motif:,179954,181057,239080,240205,1103,36.22963054
tmp.log:2338:Motif:,171439,171821,182207,182592,382,6.949174436
tmp.log:2339:Motif:,160876,161302,211979,212410,426,6.644451196
tmp.log:2340:Motif:,170839,171788,181607,182563,949,10.14161381
tmp.log:2341:Motif:,24150,24865,177185,177904,715,10.01490769
tmp.log:2342:Motif:,39258,39569,196818,197167,311,6.235425198
tmp.log:2343:Motif:,121692,122592,133222,134140,900,18.698968
tmp.log:2344:Motif:,188152,188781,211396,212039,629,16.95840232
tmp.log:2345:Motif:,191253,192539,215658,216947,1286,41.64815156
tmp.log:2346:Motif:,211528,212001,235980,236415,435,20.25325093
tmp.log:2347:Motif:,152087,152522,171134,171569,435,2.575167225
tmp.log:2348:Motif:,171441,171823,229687,230072,382,7.237738515
tmp.log:2349:Motif:,51886,52255,200397,200764,367,8.241277679
tmp.log:2350:Motif:,229501,230123,233254,233870,616,5.609473701
tmp.log:2351:Motif:,41435,41819,71617,72004,384,3.932419522
tmp.log:2352:Motif:,28632,29423,29791,30558,767,16.80036625
tmp.log:2353:Motif:,168696,170162,206723,208222,1466,38.3150046
tmp.log:2354:Motif:,11602,11982,189907,190322,380,12.75896923
tmp.log:2355:Motif:,167892,168456,168765,169328,563,6.103394755
tmp.log:2356:Motif:,222074,222908,225258,226101,834,13.81368361
tmp.log:2357:Motif:,193336,194166,201925,202757,830,11.11876933
tmp.log:2358:Motif:,136801,137613,140195,140979,784,15.73765907
tmp.log:2359:Motif:,87679,88198,128148,128673,519,12.328183
tmp.log:2360:Motif:,28661,29250,29825,30410,585,12.72532493
tmp.log:2361:Motif:,149441,150344,221977,222882,903,9.194117419
tmp.log:2362:Motif:,229518,229892,233271,233645,374,2.830834568
tmp.log:2363:Motif:,1698,2021,149380,149699,319,4.323463435
tmp.log:2364:Motif:,159747,160541,228363,229157,794,13.42424353
tmp.log:2365:Motif:,59143,60253,234925,236072,1110,35.55343417
tmp.log:2366:Motif:,167523,168186,180555,181222,663,8.3597455
tmp.log:2367:Motif:,156593,157942,198253,199603,1349,37.01591415
tmp.log:2368:Motif:,50599,51220,130847,131495,621,15.87271483
tmp.log:2369:Motif:,163885,164701,181653,182462,809,9.393991259
tmp.log:2370:Motif:,38488,39356,201825,202662,837,12.60008768
tmp.log:2371:Motif:,224927,225912,230136,231124,985,12.89137715
tmp.log:2372:Motif:,205176,206196,209302,210275,973,19.99955054
tmp.log:2373:Motif:,226582,228257,237180,238818,1638,59.25929921
tmp.log:2374:Motif:,122586,122995,123703,124110,407,7.672508396
tmp.log:2375:Motif:,64745,65545,133287,134076,789,11.69408729
tmp.log:2376:Motif:,162970,164120,182037,183211,1150,14.73742613
tmp.log:2377:Motif:,85077,86013,111623,112575,936,20.75177849
tmp.log:2378:Motif:,157066,157846,171021,171800,779,14.00529526
tmp.log:2379:Motif:,225831,226971,233486,234650,1140,27.24662931
tmp.log:2380:Motif:,86062,86665,112609,113206,597,14.17748476
tmp.log:2381:Motif:,25316,25744,52210,52634,424,3.717460908
tmp.log:2382:Motif:,191235,191673,192481,192900,419,5.657989213
tmp.log:2383:Motif:,154651,155314,185651,186297,646,13.22725748
tmp.log:2384:Motif:,117506,118194,126320,127010,688,11.08583239
tmp.log:2385:Motif:,95631,96002,120913,121314,371,14.9257365
tmp.log:2386:Motif:,229517,230133,233270,233879,609,5.596997915
tmp.log:2387:Motif:,109924,111091,129900,131048,1148,28.76321074
tmp.log:2388:Motif:,82380,83225,121702,122530,828,12.41930702
tmp.log:2389:Motif:,149700,150333,151997,152622,625,6.714726724
tmp.log:2390:Motif:,59822,60453,214328,214961,631,4.471904568
tmp.log:2391:Motif:,13075,13542,175629,176098,467,5.518366937
tmp.log:2392:Motif:,152096,152414,171143,171465,318,1.418051832
tmp.log:2393:Motif:,133276,133829,133866,134416,550,13.34111544
tmp.log:2394:Motif:,58732,59277,75856,76396,540,15.83123047
tmp.log:2395:Motif:,59595,60401,154638,155430,792,17.0645311
tmp.log:2396:Motif:,215587,216939,229811,231202,1352,46.27813261
tmp.log:2397:Motif:,23492,23939,174666,175117,447,6.249598549
tmp.log:2398:Motif:,200160,200503,223509,223854,343,3.292473885
tmp.log:2399:Motif:,45224,45926,46382,47126,702,25.3882206
tmp.log:2400:Motif:,150644,151265,239929,240551,621,5.873965375
tmp.log:2401:Motif:,117642,118587,127777,128737,945,15.38676256
tmp.log:2402:Motif:,163929,164735,170927,171751,806,13.12379094
tmp.log:2403:Motif:,151247,151835,233622,234207,585,10.50832279
tmp.log:2404:Motif:,56039,56348,192238,192547,309,5.618340756
tmp.log:2405:Motif:,173696,174109,236074,236481,407,12.33645595
tmp.log:2406:Motif:,167650,168771,180668,181798,1121,26.29795696
tmp.log:2407:Motif:,8206,8536,172002,172348,330,21.98292135
tmp.log:2408:Motif:,175921,176309,212065,212452,387,5.39755622
tmp.log:2409:Motif:,42691,43162,187068,187557,471,2.800376018
tmp.log:2410:Motif:,163282,163733,171580,172039,451,9.999202255
tmp.log:2411:Motif:,83622,83981,110528,110886,358,8.278269478
tmp.log:2412:Motif:,130419,130990,135350,135913,563,8.382149429
tmp.log:2413:Motif:,46526,46933,177524,177923,399,4.421476854
tmp.log:2414:Motif:,175858,176544,190282,190975,686,10.80753002
tmp.log:2415:Motif:,28502,28833,236384,236713,329,6.041057371
tmp.log:2416:Motif:,229486,229819,233239,233572,333,2.057923981
tmp.log:2417:Motif:,52688,53200,235763,236300,512,12.47013018
tmp.log:2418:Motif:,159736,160585,215369,216259,849,12.16103287
tmp.log:2419:Motif:,223951,225122,225559,226725,1166,21.6969313
tmp.log:2420:Motif:,19774,20093,42334,42653,319,2.404655025
tmp.log:2421:Motif:,182532,183085,193008,193555,547,9.533710775
tmp.log:2422:Motif:,171113,171602,230697,231187,489,2.524464753
tmp.log:2423:Motif:,86033,86360,201413,201753,327,20.43222093
tmp.log:2424:Motif:,181749,182138,189348,189741,389,4.134286226
tmp.log:2425:Motif:,191724,193191,216175,217645,1467,39.23380585
tmp.log:2426:Motif:,88365,88774,150605,151010,405,8.919606963
tmp.log:2427:Motif:,40203,40549,208023,208400,346,2.259785811
tmp.log:2428:Motif:,234031,235337,242810,244122,1306,30.63362046
tmp.log:2429:Motif:,108831,109182,148163,148513,350,12.08533559
tmp.log:2430:Motif:,205250,205745,209368,209855,487,6.008893188
tmp.log:2431:Motif:,138527,138851,141335,141655,320,8.563040369
tmp.log:2432:Motif:,107773,108289,126343,126860,516,8.411284792
tmp.log:2433:Motif:,60311,60850,151167,151698,531,12.31095878
tmp.log:2434:Motif:,170842,171175,201973,202307,333,2.366571607
tmp.log:2435:Motif:,151717,152555,221956,222791,835,9.072863154
tmp.log:2436:Motif:,92062,92930,136232,137098,866,26.08174814
tmp.log:2437:Motif:,112157,112786,135388,136009,621,15.10388158
tmp.log:2438:Motif:,168595,169012,216421,216840,417,3.556370239
tmp.log:2439:Motif:,26012,26721,187141,187869,709,28.16556919
tmp.log:2440:Motif:,126341,126993,127666,128329,652,11.46709354
tmp.log:2441:Motif:,24242,24691,192650,193093,443,6.882500779
