,FirstInstanceStartLocation,FirstInstanceEndLocation,SecondInstanceStartLocation,SecondInstanceEndLocation,Length,Distance
tmp.log:105:Motif:,211312,212136,244011,244870,824,24.17714041
tmp.log:106:Motif:,82719,83354,120274,120897,623,9.885442283
tmp.log:107:Motif:,87733,88964,135878,137078,1200,31.25352647
tmp.log:108:Motif:,117895,118537,128033,128675,642,10.7987371
tmp.log:109:Motif:,2144,2462,150129,150446,317,10.87875118
tmp.log:110:Motif:,216759,217718,229626,230547,921,24.00559293
tmp.log:111:Motif:,151733,152574,221971,222817,841,9.692130455
tmp.log:112:Motif:,66171,66529,111085,111447,358,12.82082883
tmp.log:113:Motif:,225205,226030,229083,229952,825,15.5682141
tmp.log:114:Motif:,12342,12739,23056,23457,397,4.438921457
tmp.log:115:Motif:,157339,157701,222486,222847,361,4.241383394
tmp.log:116:Motif:,193290,193961,234688,235357,669,14.8457489
tmp.log:117:Motif:,80954,81468,127810,128305,495,14.26743157
tmp.log:118:Motif:,163033,163769,182101,182840,736,10.49983963
tmp.log:119:Motif:,165766,166087,227006,227315,309,13.7862274
tmp.log:120:Motif:,176502,177679,197622,198804,1177,21.94556067
tmp.log:121:Motif:,117656,118118,127799,128249,450,8.292904065
tmp.log:122:Motif:,151610,152473,225031,225906,863,11.01694554
tmp.log:123:Motif:,84819,85768,113319,114269,949,27.62307668
tmp.log:124:Motif:,175515,176201,177480,178163,683,8.564828641
tmp.log:125:Motif:,171255,171942,229503,230181,678,6.967187396
tmp.log:126:Motif:,229759,230077,233511,233827,316,5.517386071
tmp.log:127:Motif:,210115,211116,228345,229362,1001,16.64206007
tmp.log:128:Motif:,193903,194303,194573,194973,400,12.9052161
tmp.log:129:Motif:,182329,183890,192509,194056,1547,36.26104269
tmp.log:130:Motif:,210075,210545,218052,218516,464,13.34597302
tmp.log:131:Motif:,152320,153223,231091,231997,903,36.01819781
tmp.log:132:Motif:,189506,191144,223912,225502,1590,33.01453277
tmp.log:133:Motif:,214448,215666,216588,217795,1207,20.90044485
tmp.log:134:Motif:,17973,18303,18333,18682,330,15.62350128
tmp.log:135:Motif:,107553,108544,127503,128410,907,33.57694901
tmp.log:136:Motif:,182491,183870,210096,211475,1379,28.55772638
tmp.log:137:Motif:,111206,111841,125500,126138,635,11.81539277
tmp.log:138:Motif:,111537,112759,113469,114708,1222,28.71309618
tmp.log:139:Motif:,50616,51133,186807,187319,512,9.945808978
tmp.log:140:Motif:,72683,73026,111087,111443,343,9.398784032
tmp.log:141:Motif:,225282,226185,227551,228462,903,18.37995174
tmp.log:142:Motif:,182330,183808,192482,194032,1478,31.68316008
tmp.log:143:Motif:,95027,96084,97952,99008,1056,32.42041834
tmp.log:144:Motif:,180720,181161,183435,183872,437,7.109919185
tmp.log:145:Motif:,54879,55458,178045,178633,579,25.17137248
tmp.log:146:Motif:,163455,164072,182517,183148,617,12.04412839
tmp.log:147:Motif:,122905,123478,133243,133815,572,7.737906125
tmp.log:148:Motif:,130388,130722,132311,132645,334,1.707657912
tmp.log:149:Motif:,78309,78679,83433,83788,355,9.79814915
tmp.log:150:Motif:,44267,44713,167589,168030,441,5.58085328
tmp.log:151:Motif:,151120,151998,216906,217783,877,18.84139206
tmp.log:152:Motif:,22766,24723,203395,205365,1957,45.39717515
tmp.log:153:Motif:,193293,194318,197441,198464,1023,24.791634
tmp.log:154:Motif:,165065,165464,191753,192150,397,8.284111308
tmp.log:155:Motif:,66705,67017,145519,145843,312,6.848738495
tmp.log:156:Motif:,229533,229977,233286,233729,443,2.77524652
tmp.log:157:Motif:,157308,157714,189627,190031,404,2.819007667
tmp.log:158:Motif:,149138,150217,151436,152518,1079,9.741774367
tmp.log:159:Motif:,43343,43967,177596,178223,624,5.170356378
tmp.log:160:Motif:,229453,230321,233204,234070,866,11.9303873
tmp.log:161:Motif:,155334,156974,224652,226294,1640,26.47933954
tmp.log:162:Motif:,205177,205862,238662,239363,685,14.00392619
tmp.log:163:Motif:,181940,182673,204289,205026,733,14.24569053
tmp.log:164:Motif:,217476,219430,224494,226476,1954,36.04006545
tmp.log:165:Motif:,162942,163538,233244,233839,595,10.9949051
tmp.log:166:Motif:,229582,229938,233335,233691,356,2.712423002
tmp.log:167:Motif:,119532,120433,133383,134300,901,12.32571363
tmp.log:168:Motif:,81399,81850,114665,115129,451,16.27688723
tmp.log:169:Motif:,175750,176744,187255,188252,994,28.64960352
tmp.log:170:Motif:,163534,164909,203652,205035,1375,22.16496505
tmp.log:171:Motif:,180433,181376,197424,198354,930,13.32144937
tmp.log:172:Motif:,132707,133575,135697,136555,858,13.11049297
tmp.log:173:Motif:,172618,173130,188705,189199,494,9.001743075
tmp.log:174:Motif:,214088,214715,219545,220171,626,15.43427533
tmp.log:175:Motif:,46681,47302,177339,177960,621,7.224844655
tmp.log:176:Motif:,201974,203137,225210,226385,1163,17.68307709
tmp.log:177:Motif:,231718,233530,242462,244294,1812,55.21966947
tmp.log:178:Motif:,162964,163399,172881,173320,435,4.499691158
tmp.log:179:Motif:,167021,168605,182751,184374,1584,31.10808749
tmp.log:180:Motif:,169507,170372,235176,236040,864,16.66930075
tmp.log:181:Motif:,76359,76759,79326,79726,400,12.77858542
tmp.log:182:Motif:,167439,168033,197462,198056,594,6.516810248
tmp.log:183:Motif:,24803,25172,209977,210345,368,4.338233133
tmp.log:184:Motif:,187495,187923,194242,194674,428,10.06064879
tmp.log:185:Motif:,121654,122900,133173,134415,1242,27.89849459
tmp.log:186:Motif:,2839,3234,151391,151786,395,6.971739555
tmp.log:187:Motif:,163997,164934,204111,205048,937,15.35591114
tmp.log:188:Motif:,108567,109004,127859,128299,437,9.480785774
tmp.log:189:Motif:,92091,92804,137112,137776,664,10.57806156
tmp.log:190:Motif:,170818,171699,218164,219041,877,16.94408807
tmp.log:191:Motif:,65671,66200,145347,145864,517,9.197976691
tmp.log:192:Motif:,46582,47145,192614,193173,559,6.959705677
tmp.log:193:Motif:,217964,218543,218972,219552,579,13.22142231
tmp.log:194:Motif:,150502,151132,154672,155289,617,12.39009482
tmp.log:195:Motif:,197723,198180,214267,214725,457,9.014933419
tmp.log:196:Motif:,22992,23601,46475,47096,609,8.716581997
tmp.log:197:Motif:,29625,30505,209506,210379,873,26.31148102
tmp.log:198:Motif:,205453,206119,209568,210262,666,15.11067576
tmp.log:199:Motif:,24151,24711,46525,47089,560,5.404236176
tmp.log:200:Motif:,172427,172755,237732,238060,328,2.998799581
tmp.log:201:Motif:,159672,161280,197049,198693,1608,29.58118911
tmp.log:202:Motif:,236495,237766,242503,243774,1271,33.7208825
tmp.log:203:Motif:,159353,159757,200256,200658,402,3.710035702
tmp.log:204:Motif:,226802,228555,229374,231115,1741,50.23488666
